Wall time,Step,Value
1557077466.174298,0,2.4756546020507812
1557078938.269991,1,1.381252646446228
1557080410.655026,2,0.9115217328071594
1557081876.546895,3,0.6176273822784424
1557083339.199059,4,0.5075828433036804
1557084807.040023,5,0.44734665751457214
1557086281.459738,6,0.5195274949073792
1557087753.096234,7,0.5079020857810974
1557089227.014165,8,0.36922940611839294
1557090694.311185,9,0.24437971413135529
1557092164.070467,10,0.11503300070762634
1557093628.199212,11,0.12346703559160233
1557095105.83164,12,0.24850989878177643
1557096575.054295,13,0.4532119929790497
1557098041.334789,14,0.3479621410369873
1557099506.03054,15,0.11215517669916153
1557100971.729504,16,0.21532532572746277
1557102496.215915,17,0.3185238838195801
1557104054.74976,18,0.09213975816965103
1557105613.537986,19,0.1638070046901703
1557107179.986938,20,0.1678324192762375
1557108745.274454,21,0.04328189417719841
1557110313.828605,22,0.05987900495529175
1557111874.242056,23,0.05199764668941498
1557113437.938857,24,0.01177883055061102
1557115008.452284,25,0.004884574096649885
1557116580.577861,26,0.0030953125096857548
1557118152.859668,27,0.0023849550634622574
1557119723.63951,28,0.001819734345190227
1557121288.555588,29,0.20152787864208221
1557122848.327461,30,0.41862356662750244
1557124419.989107,31,0.20251961052417755
1557125989.71036,32,0.264392226934433
1557127558.806487,33,0.12491366267204285
1557129131.2954,34,0.0733363926410675
1557130697.875127,35,0.018312428146600723
1557132262.214725,36,0.012572786770761013
1557133824.499297,37,0.009768601506948471
1557135396.613499,38,0.00829289574176073
1557136966.863877,39,0.007032382767647505
1557138526.284426,40,0.010559010319411755
1557140090.431,41,0.00835335161536932
1557141656.578039,42,0.00763026624917984
1557143222.351964,43,0.007703868206590414
1557144792.618769,44,0.0069145625457167625
1557146362.50526,45,0.006135581061244011
1557147926.64115,46,0.0057537793181836605
