Wall time,Step,Value
1557205781.880065,0,2.7317264080047607
1557207638.421804,1,1.664413571357727
1557208914.761965,2,1.1926754713058472
1557209946.470269,3,0.8714836835861206
1557210974.718687,4,0.7212924957275391
1557212006.790492,5,0.5932013392448425
1557213039.347474,6,0.5207507014274597
1557214071.297435,7,0.4003334939479828
1557215102.908746,8,0.3378588855266571
1557216135.57916,9,0.3297566771507263
1557217165.29639,10,0.4836118817329407
1557218195.529717,11,0.3652249276638031
1557219227.361856,12,0.34540361166000366
1557220260.214826,13,0.20576108992099762
1557221292.334063,14,0.11565788835287094
1557222325.118785,15,0.22063571214675903
1557223357.527718,16,0.43758445978164673
1557224387.908294,17,0.31082645058631897
1557225421.199026,18,0.32056012749671936
1557226454.320485,19,0.1726551055908203
1557227486.990678,20,0.24684064090251923
1557228519.556093,21,0.1098208948969841
1557229550.058106,22,0.06857678294181824
1557230582.200945,23,0.05571671575307846
1557231612.586138,24,0.046874143183231354
1557232645.234604,25,0.04005308821797371
1557233676.286427,26,0.04744436591863632
1557234706.298143,27,0.03870975598692894
1557235736.137477,28,0.029647046700119972
1557236767.617199,29,0.02661164477467537
1557237798.574092,30,0.05650155991315842
1557238859.076332,31,0.09538305550813675
1557239917.367136,32,0.0734708234667778
1557241007.214914,33,0.03249438852071762
1557242534.873597,34,0.024136163294315338
1557244314.793561,35,0.01998862810432911
1557245429.56263,36,0.0193086676299572
1557246925.087246,37,0.016841458156704903
1557248948.911268,38,0.015237086452543736
1557250453.596262,39,0.013795866630971432
