Wall time,Step,Value
1557078168.666128,0,2.4391989707946777
1557079738.039905,1,1.3344695568084717
1557081304.202431,2,0.8738783001899719
1557082860.931674,3,0.6099529266357422
1557084419.753268,4,0.48039063811302185
1557085988.961115,5,0.42207738757133484
1557087551.384351,6,0.41245704889297485
1557089112.155897,7,0.3696136474609375
1557090673.515592,8,0.3933074176311493
1557092227.720387,9,0.25439515709877014
1557093788.217449,10,0.4588283598423004
1557095355.5552,11,0.3328714370727539
1557096913.18519,12,0.1830293983221054
1557098461.001438,13,0.10859166085720062
1557100020.351388,14,0.05327941104769707
1557101571.058755,15,0.21234636008739471
1557103250.935112,16,0.25678157806396484
1557104930.88927,17,0.08433621376752853
1557106608.302957,18,0.1636136919260025
1557108298.647129,19,0.3344956934452057
1557109984.189269,20,0.38496696949005127
1557111680.33829,21,0.1076604574918747
1557113360.05205,22,0.06161509454250336
1557115045.585379,23,0.045308057218790054
1557116743.717141,24,0.03361339122056961
1557118435.601368,25,0.02618369273841381
1557120127.322915,26,0.020563092082738876
1557121816.510434,27,0.033974386751651764
1557123501.634289,28,0.023869309574365616
1557125196.79063,29,0.017457129433751106
1557126903.78083,30,0.01472247764468193
1557128596.932574,31,0.011375963687896729
1557130283.249447,32,0.010372377932071686
1557131973.272416,33,0.00852338969707489
1557133670.990536,34,0.006681980099529028
1557135359.691241,35,0.005311913322657347
1557137059.163654,36,0.004791210871189833
1557138742.571375,37,0.0045875059440732
1557140435.060738,38,0.003379938192665577
1557142129.741492,39,0.00274198642000556
1557143834.554798,40,0.002337155630812049
1557145523.253958,41,0.002426242223009467
1557147209.963642,42,0.004556769039481878
1557148895.342018,43,0.010353976860642433
