Wall time,Step,Value
1557103070.836766,0,2.3916172981262207
1557104448.35939,1,1.1244357824325562
1557105827.557466,2,0.7055552005767822
1557107200.716933,3,0.49446603655815125
1557108572.04473,4,0.37598633766174316
1557109945.11149,5,0.4804076850414276
1557111320.178722,6,0.5321919918060303
1557112698.058988,7,0.325045645236969
1557114073.006841,8,0.3232826590538025
1557115452.556247,9,0.282784104347229
1557116831.927574,10,0.35102391242980957
1557118211.188346,11,0.2439126819372177
1557119585.872272,12,0.10781814157962799
1557120963.336762,13,0.14628979563713074
1557122346.860728,14,0.24629342555999756
1557123730.843848,15,0.2632906436920166
1557125103.855578,16,0.3543420135974884
1557126478.871996,17,0.21051155030727386
1557127856.831609,18,0.2638670802116394
1557129240.813728,19,0.19302448630332947
1557130612.657994,20,0.08306707441806793
1557131990.535533,21,0.05509249493479729
1557133363.57355,22,0.037617288529872894
1557134742.55917,23,0.028846289962530136
1557136120.007803,24,0.021959347650408745
1557137494.756781,25,0.018091514706611633
1557138872.231388,26,0.01570289023220539
1557140256.751526,27,0.013037615455687046
1557141632.911471,28,0.011374074965715408
1557143012.95097,29,0.010577386245131493
1557144384.412894,30,0.008364658802747726
1557145755.711653,31,0.006732090376317501
1557147131.430377,32,0.005894482135772705
1557148503.833998,33,0.00513228727504611
1557149842.78936,34,0.004472818691283464
1557151150.227618,35,0.0038361528422683477
1557152449.587451,36,0.0033146035857498646
1557153752.085995,37,0.0029792669229209423
1557155056.736293,38,0.002761121140792966
1557156368.211712,39,0.002303465735167265
1557157674.549256,40,0.0024033705703914165
1557158976.225072,41,0.005934539716690779
1557160283.364354,42,0.060934823006391525
