Wall time,Step,Value
1557102885.715695,0,2.4362950325012207
1557104138.212094,1,1.1740288734436035
1557105390.880139,2,0.7499911189079285
1557106647.452539,3,0.5477442145347595
1557107900.707406,4,0.4435340166091919
1557109154.298663,5,0.368757426738739
1557110409.806494,6,0.3182826042175293
1557111664.367906,7,0.3143060505390167
1557112917.664634,8,0.38232794404029846
1557114171.22536,9,0.3207239508628845
1557115425.922229,10,0.3565003275871277
1557116683.232758,11,0.3970155715942383
1557117936.543792,12,0.5176912546157837
1557119188.774208,13,0.28713521361351013
1557120440.973939,14,0.14867132902145386
1557121697.23849,15,0.105072021484375
1557122960.207267,16,0.053148768842220306
1557124214.978008,17,0.2589610815048218
1557125471.107577,18,0.18665029108524323
1557126725.595066,19,0.5193645358085632
1557127981.758899,20,0.4389452338218689
1557129241.198809,21,0.2309633046388626
1557130492.508955,22,0.19178925454616547
1557131748.537084,23,0.07741504907608032
1557132998.46151,24,0.04395522549748421
1557134254.691618,25,0.032058920711278915
1557135508.426738,26,0.024984115734696388
1557136758.45563,27,0.01981320232152939
1557138014.260188,28,0.01639063097536564
1557139270.954455,29,0.013946259394288063
1557140529.464444,30,0.011658253148198128
1557141783.331745,31,0.010084971785545349
1557143039.265256,32,0.008937041275203228
1557144291.368452,33,0.036873992532491684
1557145543.813308,34,0.02040519379079342
1557146799.473348,35,0.011092739179730415
1557148048.396041,36,0.012896193191409111
1557149299.125873,37,0.007466580718755722
1557150520.573255,38,0.005502237938344479
1557151738.296971,39,0.004947843495756388
1557152952.054193,40,0.004427439998835325
1557154169.996362,41,0.003731711767613888
1557155389.032804,42,0.0034195424523204565
1557156609.316821,43,0.002901693806052208
1557157823.405267,44,0.0029986908193677664
1557159040.507804,45,0.006080495659261942
1557160263.813469,46,0.016883904114365578
